order_size,participation_pct,strategy,is_mean_bps,is_std_bps,cost_mean_usd,cost_std_usd,fill_rate
1.0,1.7042607005418913,Immediate,49.359640364566175,34.022044035616354,177.82698079641546,168.6973071985593,0.83
1.0,1.7042607005418913,TWAP,-4.650923245441982,32.84217193084541,6.59685547960235,7.02688059841815,1.0
1.0,1.7042607005418913,VWAP,-4.352663824184216,32.94819925511726,5.431938728948654,4.927505085306226,0.99
1.0,1.7042607005418913,A-C (λ=1.0),-4.63223886737949,32.66397644973302,6.596729136623607,7.026263482351324,1.0
1.0,1.7042607005418913,Adaptive,-4.941726374907504,33.57238201572679,6.2346480762156515,6.009442337305747,1.0
5.0,8.521303502709458,Immediate,87.54742663503177,25.20052300697033,812.0535790368552,672.8833853667298,0.265
5.0,8.521303502709458,TWAP,-0.3614638322425807,33.59104749005418,128.12755999375176,158.10371974866197,1.0
5.0,8.521303502709458,VWAP,-1.0546083099524621,33.339228776166756,100.21745118854277,108.83907858751392,0.99
5.0,8.521303502709458,A-C (λ=1.0),-0.34287250788583434,33.41418575643598,128.12539759955382,158.0927019419664,1.0
5.0,8.521303502709458,Adaptive,-0.9035595824289839,34.187439337741246,120.25616698109201,136.34513863849764,1.0
10.0,17.042607005418915,Immediate,94.87109825516454,16.47989472912597,1169.389537966823,1167.772697096836,0.14
10.0,17.042607005418915,TWAP,4.793032241815346,34.84834487790619,482.57697895222395,571.7139205419433,0.99
10.0,17.042607005418915,VWAP,3.0679610828378374,34.08764508752453,383.0792962365842,428.6584470456945,0.99
10.0,17.042607005418915,A-C (λ=1.0),4.811546047340056,34.674818850093466,482.57388316386016,571.6934145373536,0.99
10.0,17.042607005418915,Adaptive,4.0458641017721195,35.275048114573025,458.4914015658021,518.8304263407473,1.0
25.0,42.60651751354728,Immediate,99.7712333657275,5.5710358058878295,1593.3935158873467,1961.0535475225772,0.035
25.0,42.60651751354728,TWAP,18.59629824497875,38.77827763667392,2673.519350892332,2726.362819225412,0.955
25.0,42.60651751354728,VWAP,15.257140532113542,37.55201577738381,2296.104840590916,2511.4743327219494,0.975
25.0,42.60651751354728,A-C (λ=1.0),18.614687607432902,38.61503099559479,2673.568006805416,2726.628453883737,0.955
25.0,42.60651751354728,Adaptive,17.86610462593442,39.13122501888021,2646.333960573512,2731.407789350411,0.985
50.0,85.21303502709456,Immediate,100.31413911112777,2.6218904882732423,1671.3381243078288,2121.1020907698758,0.005
50.0,85.21303502709456,TWAP,36.33768591720201,43.03916973654101,8737.795647485542,7445.0050402487905,0.815
50.0,85.21303502709456,VWAP,33.132107855519116,42.826974566222056,8192.655231129982,7461.722608996925,0.91
50.0,85.21303502709456,A-C (λ=1.0),36.355739828691505,42.88425157935418,8738.114508467908,7446.62071631037,0.82
50.0,85.21303502709456,Adaptive,36.140061725856164,43.75635692619679,8849.665043973968,7618.744930631157,0.865
